Actor/Actress,Character,Gender
Sean Bean[a],"Eddard ""Ned"" Stark",M
Mark Addy,Robert Baratheon,M
Nikolaj Coster-Waldau,Jaime Lannister,M
Michelle Fairley,Catelyn Stark,F
Lena Headey[b],Cersei Lannister,F
Emilia Clarke,Daenerys Targaryen,F
Iain Glen,Jorah Mormont,M
Harry Lloyd,Viserys Targaryen,M
Kit Harington,Jon Snow,M
Sophie Turner,Sansa Stark,F
Maisie Williams,Arya Stark,F
Richard Madden,Robb Stark,M
Alfie Allen,Theon Greyjoy,M
Isaac Hempstead Wright,Bran Stark,M
Jack Gleeson,Joffrey Baratheon,M
Rory McCann,"Sandor ""The Hound"" Clegane",M
Peter Dinklage,Tyrion Lannister,M
Jason Momoa,Khal Drogo,M
Aidan Gillen,"Petyr ""Littlefinger"" Baelish",M
Liam Cunningham,Davos Seaworth,M
John Bradley,Samwell Tarly,M
Stephen Dillane,Stannis Baratheon,M
Carice van Houten,Melisandre,F
James Cosmo,Jeor Mormont,M
Jerome Flynn,Bronn,M
Conleth Hill,Varys,M
Sibel Kekilli,Shae,F
Natalie Dormer,Margaery Tyrell,F
Charles Dance,Tywin Lannister,M
Oona Chaplin,Talisa Maegyr,F
Rose Leslie,Ygritte,F
Joe Dempsie,Gendry,M
Kristofer Hivju,Tormund Giantsbane,M
Gwendoline Christie,Brienne of Tarth,F
Iwan Rheon,Ramsay Bolton,M
Hannah Murray,Gilly,F
Michiel Huisman[c],Daario Naharis,M
Nathalie Emmanuel,Missandei,F
Indira Varma,Ellaria Sand,F
Dean-Charles Chapman[d],Tommen Baratheon,M
Tom Wlaschiha[e],Jaqen H'ghar,M
Michael McElhatton,Roose Bolton,M
Jonathan Pryce,TheHighSparrow,M
Jacob Anderson,GreyWorm,M